attribution_tag,attribution_name,dimred_tag,dimred_name,prompt_count,soft_suff_mean,soft_suff_std,soft_comp_mean,soft_comp_std,final_suff_mean,final_suff_std,final_comp_mean,final_comp_std
deeplift,deeplift,baseline,baseline,6,0.019862758945720576,0.007833304641591435,0.2830174485930909,0.0827599113276471,2.4303438911042736,3.1759362590388394,0.8289719257759969,0.4683974454795281
deeplift,deeplift,factor_analysis_n_components_1,factor_analysis,6,0.028456465496245264,0.014143154341151213,0.3778139113310512,0.0784959080116659,5.423731282659186,4.488091852156672,1.1839696755522888,0.22497214116000294
deeplift,deeplift,ica_n_components_1,ica,6,0.029019372981042475,0.026702987364012772,0.337171346285905,0.05568197404528947,0.799001119484811,4.041847837708923,1.0240846286981131,0.2636811203886529
deeplift,deeplift,kernel_pca_n_components_1,kernel_pca,6,0.018915638063195347,0.00731300211894896,0.3024402033043105,0.11061384205345916,1.0659463026249167,2.34822515933361,0.8635822796337939,0.42049402523391394
deeplift,deeplift,nmf_n_components_1,nmf,6,0.029928190007605642,0.027224001676941303,0.3872106717876081,0.12429754602480848,3.139153847303811,5.971320860668887,1.1392755810252868,0.5531537158364298
deeplift,deeplift,pca_n_components_1,pca,6,0.022279579320373805,0.008119372011267117,0.28415636084470103,0.10425464378844669,4.660891366167802,2.654366099458462,0.8468859931545641,0.4615657339457734
gradient_shap,gradient_shap,baseline,baseline,6,0.014711081095331905,0.007580790926319176,0.2539324478864184,0.07636004932397554,-0.6407556620097393,4.821523367447182,0.6938803970362889,0.28028642928760034
gradient_shap,gradient_shap,factor_analysis_n_components_1,factor_analysis,6,0.022699907376598452,0.006544132676214428,0.32983994378318626,0.03832559519688401,3.5173736722958515,5.033730750321299,0.6117820439335722,0.9565038878331298
gradient_shap,gradient_shap,ica_n_components_1,ica,6,0.02463824507840316,0.016211453093845456,0.2958983660604145,0.09005814490100568,7.0594339980142236,1.9216627200256804,0.9328310109796885,0.304106343406866
gradient_shap,gradient_shap,kernel_pca_n_components_1,kernel_pca,6,0.018838299582219883,0.0077528088865956215,0.2847739037007045,0.09963495150799465,5.952814143594396,3.048448554650021,0.916115557687549,0.23729713259878765
