attribution_tag,attribution_name,dimred_tag,dimred_name,distribution_sample_count,token_count_mean,token_count_std,top1_share_mean,top1_share_std,top3_share_mean,top3_share_std,normalized_entropy_mean,normalized_entropy_std,coverage80_tokens_mean,coverage80_tokens_std,coverage80_ratio_mean,coverage80_ratio_std
deeplift,deeplift,baseline,baseline,1000,36.94,12.122844689402045,0.2907873616834471,0.10347649916075025,0.5328291039677756,0.10687330122757263,0.7373435400205033,0.08548076721573088,11.057,3.966293292544373,0.31366765839201566,0.09600712603020817
deeplift,deeplift,factor_analysis_n_components_1,factor_analysis,1000,36.94,12.122844689402045,0.49069812040706906,0.026331072123646476,0.5406639591256585,0.021541334649876717,0.6957134375584825,0.02319985058882248,20.966,6.603366448142072,0.5718460688002476,0.03624494871807311
deeplift,deeplift,factor_analysis_n_components_3,factor_analysis,1000,36.94,12.122844689402045,0.2053659652992472,0.01153361445831054,0.6096482772411986,0.039965075869151115,0.7528900513573353,0.03391731927985321,17.349,5.235323066211636,0.47563131076686926,0.0339327430467313
deeplift,deeplift,factor_analysis_n_components_5,factor_analysis,1000,36.94,12.122844689402045,0.13441117213979767,0.011187660665927697,0.4018897685951472,0.024013090705532314,0.800084795832709,0.03693399069383904,15.562,4.387186274071732,0.4306406023061472,0.04299412715687634
deeplift,deeplift,ica_n_components_1,ica,1000,36.94,12.122844689402045,0.4433511833837446,0.07134963514762453,0.5521243942167068,0.06654242517132805,0.708557039370861,0.05843752715002724,18.788,7.277225708607231,0.5123584811465628,0.10903243596162576
deeplift,deeplift,ica_n_components_3,ica,1000,36.94,12.122844689402045,0.1888308169048033,0.01636579408646259,0.5430610519972299,0.06584933266296418,0.7834578792629411,0.041035111794955476,16.687,5.373444417215545,0.45814776006899927,0.06316941467951351
deeplift,deeplift,ica_n_components_5,ica,1000,36.94,12.122844689402045,0.12449197152878708,0.009292569202871203,0.37164155011605443,0.028917731942622756,0.8301173819403842,0.03824255531827207,15.982,4.611609582666658,0.44351569059752405,0.060276085111822676
deeplift,deeplift,kernel_pca_n_components_1,kernel_pca,1000,36.94,12.122844689402045,0.44335117756827536,0.0713496297141843,0.5521243908005108,0.0665424271259931,0.7085570451503306,0.0584375416226269,18.788,7.277225708607231,0.5123584811465628,0.10903243596162576
deeplift,deeplift,kernel_pca_n_components_3,kernel_pca,1000,36.94,12.122844689402045,0.30309798384247894,0.06691964033448926,0.5599863420135591,0.04549245393616648,0.7621806298848053,0.0357584890370889,18.316,5.8766213659447795,0.5012252685222671,0.055424082628616006
deeplift,deeplift,kernel_pca_n_components_5,kernel_pca,1000,36.94,12.122844689402045,0.27640633094107236,0.06885455299036138,0.512398042653704,0.04650097312419631,0.7836520342708401,0.03655937941291926,17.944,5.602700621508725,0.4926359953198637,0.05492605723860054
deeplift,deeplift,nmf_n_components_1,nmf,1000,36.94,12.122844689402045,0.39464531817106,0.14413294978990576,0.6178187127246884,0.11756051913290276,0.6530571579861496,0.11391057476609481,8.675,3.7973404897105016,0.24785692298729606,0.09977338247172463
deeplift,deeplift,nmf_n_components_3,nmf,1000,36.94,12.122844689402045,0.2577879970136031,0.0537796178367816,0.5995479267865306,0.10250194285042359,0.6989801666860234,0.07513688384669936,8.577,3.4382979645302547,0.24492503540393398,0.0892253095679698
deeplift,deeplift,nmf_n_components_5,nmf,1000,36.94,12.122844689402045,0.20156247379871586,0.04130506401114015,0.4862306177540178,0.06215190056769586,0.7421352849077776,0.058468143668063285,9.2,3.1679703338314322,0.2631190856109598,0.08288174966388301
deeplift,deeplift,pca_n_components_1,pca,1000,36.94,12.122844689402045,0.4433511770403927,0.07134963111079608,0.5521243947930436,0.06654243941985223,0.7085570422943877,0.05843754459475067,18.788,7.277225708607231,0.5123584811465628,0.10903243596162576
deeplift,deeplift,pca_n_components_3,pca,1000,36.94,12.122844689402045,0.30309798284426326,0.0669196445905154,0.5599863413477647,0.04549245024752768,0.7621806327865277,0.035758480389372,18.316,5.8766213659447795,0.5012252685222671,0.055424082628616006
deeplift,deeplift,pca_n_components_5,pca,1000,36.94,12.122844689402045,0.2764063292316638,0.06885454479747434,0.5123980449539026,0.046500968838972145,0.7836520366069296,0.03655938088448869,17.944,5.602700621508725,0.4926359953198637,0.05492605723860054
gradient_shap,gradient_shap,baseline,baseline,1000,36.94,12.122844689402045,0.27208306538112564,0.09709582358716155,0.5064126939743134,0.10977368540316043,0.7664816355657774,0.08262719775370217,12.947,4.956284470826484,0.3613693596979881,0.10166804393442615
gradient_shap,gradient_shap,factor_analysis_n_components_1,factor_analysis,995,36.914572864321606,12.117704870205237,0.48860867584811646,0.03411821273959979,0.542390006593725,0.03085730122599013,0.694913630239362,0.03018581746035421,20.705527638190954,6.639519478957698,0.5652296854292421,0.05413610070877675
gradient_shap,gradient_shap,factor_analysis_n_components_3,factor_analysis,995,36.914572864321606,12.117704870205237,0.20432989506305102,0.013109734950835812,0.6056745815956854,0.04760221943511335,0.7548209276080038,0.035231898589732955,17.20402010050251,5.219679515551544,0.4722719910554767,0.037099193054836756
gradient_shap,gradient_shap,factor_analysis_n_components_5,factor_analysis,995,36.914572864321606,12.117704870205237,0.1332375397689887,0.010949682678859683,0.39824703018297014,0.02515724384423741,0.8036120844481545,0.03798101545832066,15.549748743718594,4.506008445381012,0.429826117888145,0.043923623950359356
gradient_shap,gradient_shap,ica_n_components_1,ica,1000,36.94,12.122844689402045,0.4470799368078558,0.07198593161709636,0.5571777675070505,0.07136763676068263,0.7023071954545245,0.060428516235804176,18.492,7.300221176733568,0.5024061041001834,0.11307886852374058
gradient_shap,gradient_shap,ica_n_components_3,ica,1000,36.94,12.122844689402045,0.18920104633295437,0.0176020067986603,0.5464443368964849,0.0689323640479095,0.7828889859257587,0.0419086609574318,16.677,5.322875539030009,0.4581426266805462,0.06023005613085485
gradient_shap,gradient_shap,ica_n_components_5,ica,1000,36.94,12.122844689402045,0.12274341460767252,0.010377949300645044,0.36592241625162986,0.032982961144728346,0.8356604847507284,0.03834788691606941,16.151,4.782370758323749,0.447036046864312,0.060378400879265846
gradient_shap,gradient_shap,kernel_pca_n_components_1,kernel_pca,1000,36.94,12.122844689402045,0.44707991997232327,0.07198594143085577,0.5571777602499783,0.07136762306384377,0.7023072034125616,0.06042850891846265,18.492,7.300221176733568,0.5024061041001834,0.11307886852374058
gradient_shap,gradient_shap,kernel_pca_n_components_3,kernel_pca,1000,36.94,12.122844689402045,0.3006281625136521,0.06515544563336295,0.5634507523275847,0.04945651132337057,0.7614303376774352,0.035917163310756096,18.132,5.758275239490879,0.4968145318474843,0.056302755181016025
gradient_shap,gradient_shap,kernel_pca_n_components_5,kernel_pca,1000,36.94,12.122844689402045,0.2719447997377072,0.06696318112823192,0.5111997189463965,0.051322403995326976,0.7859558336985488,0.03665175082752432,17.847,5.517974178902891,0.49027618330672723,0.05490635663993312
gradient_shap,gradient_shap,nmf_n_components_1,nmf,1000,36.94,12.122844689402045,0.373954331024647,0.13867947421606736,0.5920316755271752,0.12227735460695273,0.6842999786889821,0.11173743489615437,10.419,4.865707976658085,0.29199023268498986,0.11138144053016479
gradient_shap,gradient_shap,nmf_n_components_3,nmf,1000,36.94,12.122844689402045,0.24664113999885343,0.052574785539551826,0.5778428787822794,0.1081081625120354,0.724987558920099,0.0781844736692857,10.124,4.515197782047982,0.28464395026467265,0.10284631088783243
gradient_shap,gradient_shap,nmf_n_components_5,nmf,1000,36.94,12.122844689402045,0.19166336793450045,0.040757313556531255,0.4642794625550006,0.06739415111927644,0.7699736117866048,0.06021672948774671,10.873,4.239911301884492,0.30568637251171626,0.09329571102095933
gradient_shap,gradient_shap,pca_n_components_1,pca,1000,36.94,12.122844689402045,0.44707993089444037,0.07198594094674081,0.5571777603572349,0.07136761980122014,0.7023072036484247,0.060428505248655166,18.492,7.300221176733568,0.5024061041001834,0.11307886852374058
gradient_shap,gradient_shap,pca_n_components_3,pca,1000,36.94,12.122844689402045,0.30062814997893894,0.0651554382622996,0.5634507247834208,0.049456511546554706,0.76143035499959,0.03591717638789549,18.132,5.758275239490879,0.4968145318474843,0.056302755181016025
gradient_shap,gradient_shap,pca_n_components_5,pca,1000,36.94,12.122844689402045,0.27194485623868153,0.06696315768380041,0.5111998171080733,0.05132225844619828,0.7859557042782861,0.03665156307030875,17.847,5.517974178902891,0.49027618330672723,0.05490635663993312
input_x_gradient,input_x_gradient,baseline,baseline,1000,36.94,12.122844689402045,0.2868083248391791,0.0878919063770493,0.5348046507503472,0.09880785099453913,0.7456775900160774,0.07599715542168996,11.726,4.169929533255006,0.33069635711054773,0.09489036359426045
input_x_gradient,input_x_gradient,factor_analysis_n_components_1,factor_analysis,1000,36.94,12.122844689402045,0.4941828718450366,0.022060686056211285,0.5406869031873746,0.01860996277200633,0.6938195104112396,0.021325914970867006,21.183,6.627022591513359,0.5779251038333424,0.034448549458929174
input_x_gradient,input_x_gradient,factor_analysis_n_components_3,factor_analysis,1000,36.94,12.122844689402045,0.2096749019124402,0.012293186020069534,0.6245042942015675,0.02858542043092375,0.7438142208257482,0.03213064208454965,17.234,5.119321385833424,0.4732112001965787,0.032424796837453376
input_x_gradient,input_x_gradient,factor_analysis_n_components_5,factor_analysis,1000,36.94,12.122844689402045,0.13794617417455987,0.014266473729046335,0.41196545509161864,0.018346914686879386,0.7884170160711016,0.03726949811786474,14.95,4.074813382733509,0.4149722081635074,0.042567358257170285
input_x_gradient,input_x_gradient,ica_n_components_1,ica,1000,36.94,12.122844689402045,0.4651329245537099,0.056226778786007715,0.5677008072224919,0.07468897512511556,0.6905792535111028,0.06210130638340992,18.747,7.544395861095103,0.510006216661203,0.12099729883085922
input_x_gradient,input_x_gradient,ica_n_components_3,ica,1000,36.94,12.122844689402045,0.1955448541104517,0.013455962724651863,0.5699976273479765,0.05469843889276157,0.7691252791584569,0.03636503007765436,16.195,5.097740868459475,0.4446567911323292,0.053878424655867944
