attribution_tag,attribution_name,dimred_tag,dimred_name,prompt_count,soft_suff_mean,soft_suff_std,soft_comp_mean,soft_comp_std,final_suff_mean,final_suff_std,final_comp_mean,final_comp_std
deeplift,deeplift,baseline,baseline,100,0.011319262125984468,0.007126000429020366,0.14444812173201751,0.06570885150217905,1.7072159867716874,4.206527534087567,0.9617037937652961,0.3387339493911251
deeplift,deeplift,factor_analysis_n_components_1,factor_analysis,100,0.015609648977425545,0.008839752997340041,0.2816786858722104,0.08778775760262941,3.113227023957036,4.077053386859778,1.6495467172687452,0.4594659268070542
deeplift,deeplift,factor_analysis_n_components_3,factor_analysis,100,0.01021919885535447,0.006779783828152309,0.11067889762258122,0.05095648006963009,0.6968682619428952,4.268131479136461,0.8093952776991499,0.29900281839058995
deeplift,deeplift,factor_analysis_n_components_5,factor_analysis,100,0.009206840057516345,0.005735578322982517,0.08778209065942776,0.03215679182081912,0.34199243781295297,4.032898624826328,0.6131280137149928,0.27974774474343794
deeplift,deeplift,ica_n_components_1,ica,100,0.014555752492475475,0.01003027419051281,0.2193966367353351,0.07138029493758546,3.127573136613993,4.309788155588686,1.3698292346371894,0.393866761736973
deeplift,deeplift,ica_n_components_3,ica,100,0.009817565099412784,0.005786203565514545,0.10167377552762023,0.04219285886744477,0.9451330339384469,4.059959173682272,0.7512150302674232,0.2620744222380268
deeplift,deeplift,ica_n_components_5,ica,100,0.008799661585756803,0.004482001714142067,0.08646175202168967,0.03476809213057595,-0.10425323085999376,3.7876472588386756,0.6047130870154039,0.25811822542233315
deeplift,deeplift,kernel_pca_n_components_1,kernel_pca,100,0.014782296833737434,0.009074229299607453,0.2291586357060584,0.0822079951834483,3.1769652906432024,4.32287771685308,1.3936343628924215,0.4554642126154035
deeplift,deeplift,kernel_pca_n_components_3,kernel_pca,100,0.011909614669990534,0.006018081699606747,0.14499403631207816,0.0614846616728342,2.288113466748337,3.6677972616068644,1.017636527407425,0.3467916062692291
deeplift,deeplift,kernel_pca_n_components_5,kernel_pca,100,0.011290992738052529,0.006559664804485693,0.13288043373636527,0.053959472160241544,1.8429244937757372,3.6762497169769994,0.9124267197777381,0.3195087715751672
deeplift,deeplift,nmf_n_components_1,nmf,100,0.016716189026697775,0.009703971899592307,0.21966706613017478,0.08431271360470012,2.8966435668373207,4.028800875175433,1.3542644126783225,0.4420318093205815
deeplift,deeplift,nmf_n_components_3,nmf,100,0.01099151729126147,0.006174384806286432,0.1345671304857439,0.056032291993276535,2.0650673785101956,4.105872740379567,0.9707935236357054,0.31834101886747107
deeplift,deeplift,nmf_n_components_5,nmf,100,0.009957464310463973,0.005565785604150808,0.11020616562200797,0.05930289933104172,0.6090609110755331,3.5403637915233355,0.814363862324011,0.2957972218043599
deeplift,deeplift,pca_n_components_1,pca,100,0.015383026008509992,0.010176072074601906,0.2174597128252915,0.07799077297580315,3.5702560977878397,4.13429771212831,1.331618544750256,0.4038524987529196
deeplift,deeplift,pca_n_components_3,pca,100,0.01172337786584502,0.007035184121174697,0.14239827896388818,0.060571298810293626,1.5918353745480673,3.788889905119634,1.0214194021082945,0.33159067561738453
deeplift,deeplift,pca_n_components_5,pca,100,0.011451942507311914,0.006030536441989728,0.1303994982988749,0.05607633345351429,1.8608230426816592,3.915046828442983,0.942261802359936,0.35633813296541306
gradient_shap,gradient_shap,baseline,baseline,100,0.010541135419708338,0.006644782285558666,0.13295111180058444,0.06337380235757295,1.705509483161653,4.347352195964053,0.8865982595628756,0.30375828401194294
gradient_shap,gradient_shap,factor_analysis_n_components_1,factor_analysis,100,0.017265167896544188,0.009881941458858866,0.275805775234206,0.09439835807233643,3.7570375011769106,3.9138916665428534,1.4545072148912075,0.8543629204063388
gradient_shap,gradient_shap,factor_analysis_n_components_3,factor_analysis,100,0.009777314887005943,0.004680322004865396,0.10105953347090482,0.044414977657563304,1.0885027408657484,3.9465603646350487,0.6277892105879307,0.7152453984442325
gradient_shap,gradient_shap,factor_analysis_n_components_5,factor_analysis,100,0.008637285895633387,0.004921989336903164,0.08519692657193756,0.03528227889325975,0.29241698601967975,3.6121666534485994,0.4382523231019594,0.6868707895884439
gradient_shap,gradient_shap,ica_n_components_1,ica,100,0.014916392906694659,0.008482931151832029,0.2308412237782629,0.08325814104618791,3.306765426034437,3.9470940478471945,1.390210192600619,0.3862178526995135
gradient_shap,gradient_shap,ica_n_components_3,ica,100,0.010039500051680894,0.006297802214640409,0.09942203204947171,0.047315801864373466,0.5851735332534636,3.7681086905945445,0.725637296929905,0.3060848775613858
gradient_shap,gradient_shap,ica_n_components_5,ica,100,0.008789331627864177,0.004720718140179741,0.08387612676557879,0.04615113836193774,0.8612421784599402,3.871440996496582,0.5586734642059367,0.27112514407196076
gradient_shap,gradient_shap,kernel_pca_n_components_1,kernel_pca,100,0.01610783445812207,0.010016174859391895,0.2326822646033636,0.08212558303917211,2.716029310258457,3.8135330751933307,1.374510709749995,0.38820109468407665
gradient_shap,gradient_shap,kernel_pca_n_components_3,kernel_pca,100,0.012067507125599217,0.007146980553665404,0.13487925317152835,0.0632170345418018,1.9362833183593977,3.916252367424127,0.9636106134310346,0.30636727170619016
gradient_shap,gradient_shap,kernel_pca_n_components_5,kernel_pca,100,0.011075212644666686,0.006615678075414477,0.11830745363896077,0.04765617970790514,1.654659401820331,4.277844525836776,0.8464083226002945,0.3050779378942626
gradient_shap,gradient_shap,nmf_n_components_1,nmf,100,0.01556487457089919,0.00920752476255567,0.21007617620313015,0.08659321336443475,2.8984133660426146,3.716304879024715,1.24568553674884,0.34679471440681725
gradient_shap,gradient_shap,nmf_n_components_3,nmf,100,0.011392036594466992,0.007097680748856365,0.11756310179484553,0.05192252997508034,2.224261103221094,3.861114192286548,0.8368437725099994,0.3052387045126895
gradient_shap,gradient_shap,nmf_n_components_5,nmf,100,0.009527990986406429,0.005837655268647244,0.09935614357079865,0.046735458461406046,-0.389432405081847,3.6220788039186864,0.7227789171856659,0.28881155125111513
gradient_shap,gradient_shap,pca_n_components_1,pca,100,0.014891988423065251,0.009123489212169711,0.22851513048698766,0.07103837210444838,2.9757688231375283,3.9259323277862483,1.3941847361057755,0.4200486664465567
gradient_shap,gradient_shap,pca_n_components_3,pca,100,0.010915987585545597,0.007076152426605142,0.13826943314082152,0.05726863516272478,1.5881991605263928,3.965488851696029,0.9699917909167963,0.278927146066294
gradient_shap,gradient_shap,pca_n_components_5,pca,100,0.010603137505154306,0.0052927978845465915,0.1279422045166898,0.05829910471786542,2.0393665465273396,3.646244076403896,0.8474686645096469,0.3189822959729762
