attribution_tag,attribution_name,dimred_tag,dimred_name,paired_prompt_count,soft_suff_method_mean,soft_suff_baseline_mean,soft_suff_delta_mean,soft_suff_delta_median,soft_suff_p_value,soft_suff_positive_pairs,soft_suff_negative_pairs,soft_suff_nonzero_pairs,soft_suff_direction,soft_suff_test,soft_comp_method_mean,soft_comp_baseline_mean,soft_comp_delta_mean,soft_comp_delta_median,soft_comp_p_value,soft_comp_positive_pairs,soft_comp_negative_pairs,soft_comp_nonzero_pairs,soft_comp_direction,soft_comp_test,final_suff_method_mean,final_suff_baseline_mean,final_suff_delta_mean,final_suff_delta_median,final_suff_p_value,final_suff_positive_pairs,final_suff_negative_pairs,final_suff_nonzero_pairs,final_suff_direction,final_suff_test,final_comp_method_mean,final_comp_baseline_mean,final_comp_delta_mean,final_comp_delta_median,final_comp_p_value,final_comp_positive_pairs,final_comp_negative_pairs,final_comp_nonzero_pairs,final_comp_direction,final_comp_test
gradient_shap,gradient_shap,nmf_n_components_1,nmf,100,0.01556487457089919,0.010541135419708336,0.0050237391511908525,0.00349388504394927,0.00018314322488235366,69,31,100,better,paired_sign_test,0.21007617620313015,0.13295111180058444,0.07712506440254573,0.06944847447841695,2.726143732806038e-20,93,7,100,better,paired_sign_test,2.8984133660426146,1.7055094831616535,1.1929038828809615,1.965687377456773,0.020978735677851718,62,38,100,better,paired_sign_test,1.24568553674884,0.8865982595628756,0.3590872771859642,0.33735733491891295,3.322048979453653e-18,91,9,100,better,paired_sign_test
gradient_shap,gradient_shap,pca_n_components_1,pca,100,0.01489198842306525,0.010541135419708336,0.004350853003356913,0.0030843465035799785,0.0004087771674268152,68,32,100,better,paired_sign_test,0.2285151304869877,0.13295111180058444,0.09556401868640321,0.09028739713992978,2.005959521923613e-21,94,6,100,better,paired_sign_test,2.975768823137528,1.7055094831616535,1.2702593399758748,0.4702562316431894,0.617299413589252,53,47,100,no_clear_difference,paired_sign_test,1.3941847361057755,0.8865982595628756,0.5075864765428999,0.482247604304634,1.252324512538536e-22,95,5,100,better,paired_sign_test
input_x_gradient,input_x_gradient,baseline,baseline,100,0.011476763070341551,0.011476763070341551,0.0,0.0,1.0,0,0,0,no_clear_difference,paired_sign_test,0.14107376612208078,0.14107376612208078,0.0,0.0,1.0,0,0,0,no_clear_difference,paired_sign_test,2.060439568237322,2.060439568237322,0.0,0.0,1.0,0,0,0,no_clear_difference,paired_sign_test,0.9618049583276554,0.9618049583276554,0.0,0.0,1.0,0,0,0,no_clear_difference,paired_sign_test
input_x_gradient,input_x_gradient,factor_analysis_n_components_1,factor_analysis,100,0.018931352745352018,0.011476763070341551,0.00745458967501046,0.006567203560003243,5.636282034205403e-07,75,25,100,better,paired_sign_test,0.29712502341642166,0.14107376612208078,0.15605125729434086,0.1550333867546514,1.252324512538536e-22,95,5,100,better,paired_sign_test,4.005604160963554,2.060439568237322,1.9451645927262324,1.7899934542886236,0.0008737198369123723,67,33,100,better,paired_sign_test,1.6817355045665794,0.9618049583276554,0.7199305462389242,0.7655608655926481,1.252324512538536e-22,95,5,100,better,paired_sign_test
input_x_gradient,input_x_gradient,ica_n_components_1,ica,100,0.016451917885273747,0.011476763070341551,0.004975154814932195,0.003449387955895964,0.0004087771674268152,68,32,100,better,paired_sign_test,0.24424742384019452,0.14107376612208078,0.10317365771811371,0.09466943676872866,2.630866896130179e-25,97,3,100,better,paired_sign_test,3.5791355120542256,2.060439568237322,1.5186959438169032,1.9679209013989882,0.0035176417229701583,65,35,100,better,paired_sign_test,1.464752348780748,0.9618049583276554,0.5029473904530923,0.494594942651459,3.208563668244003e-19,92,8,100,better,paired_sign_test
input_x_gradient,input_x_gradient,kernel_pca_n_components_1,kernel_pca,100,0.015383844518716725,0.011476763070341551,0.0039070814483751735,0.0040843522431097505,0.0008737198369123723,67,33,100,better,paired_sign_test,0.24123505413349797,0.14107376612208078,0.1001612880114172,0.0959461866262935,3.322048979453653e-18,91,9,100,better,paired_sign_test,2.718296271750758,2.060439568237322,0.6578567035134365,0.8675877605664307,0.13321061920721333,58,42,100,no_clear_difference,paired_sign_test,1.4339144037553533,0.9618049583276554,0.4721094454276979,0.4427595473355156,8.284451872080076e-14,86,14,100,better,paired_sign_test
input_x_gradient,input_x_gradient,nmf_n_components_1,nmf,100,0.017199665094641704,0.011476763070341551,0.005722902024300155,0.0037527879773371427,5.636282034205403e-07,75,25,100,better,paired_sign_test,0.24513663939911914,0.14107376612208078,0.10406287327703838,0.09088982051289576,2.005959521923613e-21,94,6,100,better,paired_sign_test,3.2970857923173282,2.060439568237322,1.2366462240800058,1.1349743768161116,0.056887933640980784,60,40,100,no_clear_difference,paired_sign_test,1.4394168560340794,0.9618049583276554,0.47761189770642337,0.47656070488268965,3.208563668244003e-19,92,8,100,better,paired_sign_test
input_x_gradient,input_x_gradient,pca_n_components_1,pca,100,0.016343504213506978,0.011476763070341551,0.004866741143165429,0.003218936468914484,0.0004087771674268152,68,32,100,better,paired_sign_test,0.24120856210063338,0.14107376612208078,0.10013479597855261,0.084561570898286,3.322048979453653e-18,91,9,100,better,paired_sign_test,3.0592954745955643,2.060439568237322,0.9988559063582424,0.5281047799126746,0.19334790449564246,57,43,100,no_clear_difference,paired_sign_test,1.421999632874379,0.9618049583276554,0.46019467454672375,0.4375449408940412,2.5408533354923057e-16,89,11,100,better,paired_sign_test
lxt,lxt,baseline,baseline,100,0.01280356381259955,0.01280356381259955,0.0,0.0,1.0,0,0,0,no_clear_difference,paired_sign_test,0.17270123186927003,0.17270123186927003,0.0,0.0,1.0,0,0,0,no_clear_difference,paired_sign_test,2.4640001102897267,2.4640001102897267,0.0,0.0,1.0,0,0,0,no_clear_difference,paired_sign_test,1.1982124334028346,1.1982124334028346,0.0,0.0,1.0,0,0,0,no_clear_difference,paired_sign_test
lxt,lxt,factor_analysis_n_components_1,factor_analysis,100,0.0209101211464929,0.01280356381259955,0.008106557333893346,0.006914996137173692,6.147806615047977e-11,82,18,100,better,paired_sign_test,0.3617183021068096,0.17270123186927003,0.18901707023753947,0.17715430246911598,1.5934990285464438e-28,99,1,100,better,paired_sign_test,5.195805630739965,2.4640001102897267,2.7318055204502385,2.8538008063634805,0.0004087771674268152,68,32,100,better,paired_sign_test,1.9575874238289819,1.1982124334028346,0.7593749904261474,0.7533193790253597,7.969072864542661e-27,98,2,100,better,paired_sign_test
