attribution_tag,attribution_name,dimred_tag,dimred_name,paired_prompt_count,soft_suff_method_mean,soft_suff_baseline_mean,soft_suff_delta_mean,soft_suff_delta_median,soft_suff_p_value,soft_suff_positive_pairs,soft_suff_negative_pairs,soft_suff_nonzero_pairs,soft_suff_direction,soft_suff_test,soft_comp_method_mean,soft_comp_baseline_mean,soft_comp_delta_mean,soft_comp_delta_median,soft_comp_p_value,soft_comp_positive_pairs,soft_comp_negative_pairs,soft_comp_nonzero_pairs,soft_comp_direction,soft_comp_test,final_suff_method_mean,final_suff_baseline_mean,final_suff_delta_mean,final_suff_delta_median,final_suff_p_value,final_suff_positive_pairs,final_suff_negative_pairs,final_suff_nonzero_pairs,final_suff_direction,final_suff_test,final_comp_method_mean,final_comp_baseline_mean,final_comp_delta_mean,final_comp_delta_median,final_comp_p_value,final_comp_positive_pairs,final_comp_negative_pairs,final_comp_nonzero_pairs,final_comp_direction,final_comp_test
gradient_shap,gradient_shap,nmf_n_components_1,nmf,100,0.012055131041659744,0.009406955883125854,0.0026481751585338874,0.0019777334783241595,0.006637120515926126,64,36,100,better,paired_sign_test,0.24907628940782026,0.20082462818491362,0.04825166122290663,0.053954959830002425,4.337366633421638e-09,79,21,100,better,paired_sign_test,2.0905272772003967,1.79852730041829,0.29199997678210726,0.5641584195154976,0.19334790449564246,57,43,100,no_clear_difference,paired_sign_test,1.4141304513509312,1.1741323053258759,0.239998146025055,0.21853730500294144,1.2579150016678854e-05,72,28,100,better,paired_sign_test
gradient_shap,gradient_shap,pca_n_components_1,pca,100,0.013581623155237523,0.009406955883125854,0.004174667272111672,0.0031328595123964933,7.850139645593671e-05,70,30,100,better,paired_sign_test,0.2794725782475094,0.20082462818491362,0.07864795006259569,0.08441896969561805,1.3129815522035853e-14,87,13,100,better,paired_sign_test,2.439136470214948,1.79852730041829,0.6406091697966584,0.2731515054649686,0.617299413589252,53,47,100,no_clear_difference,paired_sign_test,1.4542962254809666,1.1741323053258759,0.2801639201550905,0.33128905505814144,5.5135807758500534e-08,77,23,100,better,paired_sign_test
input_x_gradient,input_x_gradient,baseline,baseline,100,0.009713421103299584,0.009713421103299584,0.0,0.0,1.0,0,0,0,no_clear_difference,paired_sign_test,0.24449571533518458,0.24449571533518458,0.0,0.0,1.0,0,0,0,no_clear_difference,paired_sign_test,2.966909907689888,2.966909907689888,0.0,0.0,1.0,0,0,0,no_clear_difference,paired_sign_test,1.4054967701593515,1.4054967701593515,0.0,0.0,1.0,0,0,0,no_clear_difference,paired_sign_test
input_x_gradient,input_x_gradient,factor_analysis_n_components_1,factor_analysis,100,0.016533910262518967,0.009713421103299584,0.006820489159219384,0.006349675584619702,6.147806615047977e-11,82,18,100,better,paired_sign_test,0.3682483143516114,0.24449571533518458,0.12375259901642698,0.12402776243303246,3.063290175437985e-17,90,10,100,better,paired_sign_test,4.456174704892024,2.966909907689888,1.4892647972021362,0.9705416337743616,0.2712530240738347,56,44,100,no_clear_difference,paired_sign_test,1.3974596407582212,1.4054967701593515,-0.008037129401129883,0.4144862333103918,0.00018314322488235366,69,31,100,worse,paired_sign_test
input_x_gradient,input_x_gradient,ica_n_components_1,ica,100,0.014287645456534508,0.009713421103299584,0.0045742243532349205,0.0041125680642404155,3.2160015295666335e-05,71,29,100,better,paired_sign_test,0.3104960237851691,0.24449571533518458,0.06600030844998456,0.07548903819656673,1.8100026213029256e-07,76,24,100,better,paired_sign_test,3.239221879618442,2.966909907689888,0.2723119719285544,0.3755440459526894,0.48411841360729146,54,46,100,no_clear_difference,paired_sign_test,1.6184107318899328,1.4054967701593515,0.21291396173058133,0.2534224389214334,4.69241261264223e-06,73,27,100,better,paired_sign_test
input_x_gradient,input_x_gradient,kernel_pca_n_components_1,kernel_pca,100,0.013635786434552906,0.009713421103299584,0.003922365331253321,0.003128097819740756,0.012032975725363477,63,37,100,better,paired_sign_test,0.3055450260897996,0.24449571533518458,0.06104931075461505,0.07541337156449879,5.5135807758500534e-08,77,23,100,better,paired_sign_test,3.082418901162799,2.966909907689888,0.11550899347291158,-0.1879966636405681,0.7643534344026668,48,52,100,no_clear_difference,paired_sign_test,1.6324762406230646,1.4054967701593515,0.2269794704637136,0.2480158577616438,1.667362649450101e-06,74,26,100,better,paired_sign_test
input_x_gradient,input_x_gradient,nmf_n_components_1,nmf,100,0.014890485381077416,0.009713421103299584,0.005177064277777834,0.0035414785035817057,5.636282034205403e-07,75,25,100,better,paired_sign_test,0.3178920355227594,0.24449571533518458,0.07339632018757483,0.06444947915500607,1.3129815522035853e-14,87,13,100,better,paired_sign_test,4.32342953207375,2.966909907689888,1.3565196243838633,0.8614030576998464,0.03520020021770481,61,39,100,better,paired_sign_test,1.7439033089232205,1.4054967701593515,0.3384065387638691,0.3550282887509385,6.147806615047977e-11,82,18,100,better,paired_sign_test
input_x_gradient,input_x_gradient,pca_n_components_1,pca,100,0.013372021250477501,0.009713421103299584,0.003658600147177915,0.003236697727127913,0.00018314322488235366,69,31,100,better,paired_sign_test,0.3009757706870893,0.24449571533518458,0.05648005535190472,0.062127991861595136,1.2579150016678854e-05,72,28,100,better,paired_sign_test,3.6581924756917856,2.966909907689888,0.6912825680018984,0.730837614252895,0.3682016173266962,55,45,100,no_clear_difference,paired_sign_test,1.6660092963795878,1.4054967701593515,0.2605125262202369,0.2785959591253202,4.69241261264223e-06,73,27,100,better,paired_sign_test
lxt,lxt,baseline,baseline,100,0.012362498270530476,0.012362498270530476,0.0,0.0,1.0,0,0,0,no_clear_difference,paired_sign_test,0.2808217447219405,0.2808217447219405,0.0,0.0,1.0,0,0,0,no_clear_difference,paired_sign_test,3.522520591938956,3.522520591938956,0.0,0.0,1.0,0,0,0,no_clear_difference,paired_sign_test,1.5608777747088167,1.5608777747088167,0.0,0.0,1.0,0,0,0,no_clear_difference,paired_sign_test
lxt,lxt,factor_analysis_n_components_1,factor_analysis,100,0.018930548938190104,0.012362498270530476,0.006568050667659627,0.007202511927426917,1.590532847378614e-08,78,22,100,better,paired_sign_test,0.41267566615898515,0.2808217447219405,0.13185392143704475,0.13731310132167973,6.449688895763542e-24,96,4,100,better,paired_sign_test,5.794669550588143,3.522520591938956,2.272148958649187,2.5154595059844724,0.0004087771674268152,68,32,100,better,paired_sign_test,2.099451921093139,1.5608777747088167,0.5385741463843222,0.5745416133015108,3.322048979453653e-18,91,9,100,better,paired_sign_test
