attribution_tag,attribution_name,dimred_tag,dimred_name,prompt_count,soft_suff_mean,soft_suff_std,soft_comp_mean,soft_comp_std,final_suff_mean,final_suff_std,final_comp_mean,final_comp_std
deeplift,deeplift,baseline,baseline,100,0.010091956692734163,0.006347797721851252,0.2207626195949267,0.12039550021608621,2.205450633191579,3.953445221738896,1.3537763178524878,0.4427840193161048
deeplift,deeplift,factor_analysis_n_components_1,factor_analysis,100,0.015371074565341399,0.007450867312198449,0.32315217039118804,0.1034864062871668,3.7199000499612502,3.49626409881133,1.3000946543512262,1.0958479083151873
deeplift,deeplift,ica_n_components_1,ica,100,0.014738680533405575,0.009547180082872685,0.27003175353026027,0.111340767924915,3.973553861442086,3.6783362179582295,1.507918209356336,0.3916889126238683
deeplift,deeplift,kernel_pca_n_components_1,kernel_pca,100,0.0137213005647764,0.007342059143745373,0.27428361131857804,0.10363087766919027,3.2585505925565825,3.892174879986626,1.4953600839759082,0.4458320381672204
deeplift,deeplift,nmf_n_components_1,nmf,100,0.0134367696628112,0.00798919727308721,0.2774793964036504,0.1226304204209183,3.1590693757836625,4.0420302034353615,1.5829246971802773,0.48362683291077085
deeplift,deeplift,pca_n_components_1,pca,100,0.014061068738100901,0.007983044801851708,0.27102983378219525,0.10480170263215638,3.245417720115004,4.399365830195534,1.5269312223517801,0.39943088999872595
gradient_shap,gradient_shap,baseline,baseline,100,0.009406955883125854,0.004558830857648144,0.20082462818491364,0.10201587781031289,1.7985273004182896,4.044541458251173,1.1741323053258759,0.41454840877862
gradient_shap,gradient_shap,factor_analysis_n_components_1,factor_analysis,100,0.01507818362237363,0.007994590076066498,0.318037394967032,0.11079640930123018,3.9546895873115755,3.9269626885267015,1.659937928738716,0.5105406164091253
gradient_shap,gradient_shap,ica_n_components_1,ica,100,0.013465057286168402,0.008124820735743101,0.27545529843345123,0.1023263516989206,2.7903959040708948,4.464413497818605,1.4527495039001037,0.38937310434844047
gradient_shap,gradient_shap,kernel_pca_n_components_1,kernel_pca,100,0.01452121336059558,0.007881809390301212,0.2598504673870095,0.10212831048280242,3.3991189850045656,4.033069380599066,1.4079078315638949,0.4612381811056978
gradient_shap,gradient_shap,nmf_n_components_1,nmf,100,0.012055131041659742,0.006636257083837386,0.24907628940782028,0.10257030245807709,2.0905272772003967,3.6948116451292705,1.414130451350931,0.4600894747119527
gradient_shap,gradient_shap,pca_n_components_1,pca,100,0.013581623155237525,0.007449347829024743,0.2794725782475094,0.10128395448037515,2.439136470214948,4.1456046205778,1.4542962254809664,0.3617683136071112
input_x_gradient,input_x_gradient,baseline,baseline,100,0.009713421103299586,0.0045876248541677055,0.24449571533518458,0.12661464058368146,2.9669099076898875,4.149016559710039,1.4054967701593513,0.4366586692308761
input_x_gradient,input_x_gradient,factor_analysis_n_components_1,factor_analysis,100,0.016533910262518967,0.00747942018284753,0.3682483143516116,0.11627945762163426,4.456174704892024,4.4871218334695175,1.3974596407582214,1.0617777735417064
input_x_gradient,input_x_gradient,ica_n_components_1,ica,100,0.014287645456534506,0.008090681231987373,0.3104960237851691,0.11801118953212252,3.239221879618442,4.043930608644769,1.6184107318899326,0.4012332532006664
input_x_gradient,input_x_gradient,kernel_pca_n_components_1,kernel_pca,100,0.013635786434552906,0.008138383039023372,0.3055450260897996,0.11118789971726542,3.082418901162799,4.6313345164929824,1.632476240623065,0.42179190521467425
input_x_gradient,input_x_gradient,nmf_n_components_1,nmf,100,0.014890485381077418,0.009941742783463296,0.3178920355227594,0.13177983367784032,4.323429532073751,4.372300205783792,1.7439033089232205,0.4892173009793791
input_x_gradient,input_x_gradient,pca_n_components_1,pca,100,0.013372021250477501,0.007388763570567223,0.3009757706870893,0.12108307930690593,3.6581924756917856,4.079803991521812,1.666009296379588,0.47232952444085785
lxt,lxt,baseline,baseline,100,0.012362498270530476,0.0066325951475125905,0.2808217447219405,0.1283637281008285,3.522520591938956,3.441649943008373,1.5608777747088167,0.4653797268898075
lxt,lxt,factor_analysis_n_components_1,factor_analysis,100,0.018930548938190104,0.007087777442148158,0.41267566615898515,0.11939338872523948,5.794669550588143,3.718794124665972,2.099451921093139,0.4446060927627397
