attribution_tag,attribution_name,dimred_tag,dimred_name,distribution_sample_count,token_count_mean,token_count_std,top1_share_mean,top1_share_std,top3_share_mean,top3_share_std,normalized_entropy_mean,normalized_entropy_std,coverage80_tokens_mean,coverage80_tokens_std,coverage80_ratio_mean,coverage80_ratio_std
deeplift,deeplift,baseline,baseline,1000,65.65,11.341345869257587,0.2775619002862844,0.10409768502410217,0.5166305256328282,0.13272060111555686,0.691657193455052,0.10086395070223612,15.216,6.658353976597946,0.23461303330352667,0.09851303899674782
deeplift,deeplift,factor_analysis_n_components_1,factor_analysis,978,65.6319018404908,11.342147223804005,0.48290809342881713,0.04216889655543769,0.5209674676289496,0.020411379463741504,0.6717874728523726,0.02446452616814637,36.561349693251536,6.809501686799331,0.5575136043670135,0.04405599340447124
deeplift,deeplift,factor_analysis_n_components_3,factor_analysis,978,65.6319018404908,11.342147223804005,0.2021268195268152,0.02800322136958085,0.5905391339896383,0.05553211347277552,0.7095068710669844,0.028762029776781217,29.169734151329244,5.338666060248082,0.4453018378869391,0.03620226892100354
deeplift,deeplift,factor_analysis_n_components_5,factor_analysis,978,65.6319018404908,11.342147223804005,0.1320674448951745,0.03391072369053802,0.38701031587443097,0.042007683031608414,0.751598748189566,0.03387317091269469,25.199386503067483,4.59028831431069,0.38542886264807763,0.03769769210919701
deeplift,deeplift,ica_n_components_1,ica,1000,65.65,11.341345869257587,0.43213056954025797,0.08105078551350636,0.524405180554511,0.05867952152102652,0.6869127350000556,0.05397606913374671,33.075,9.627671944300298,0.5043086794352152,0.11683408077532577
deeplift,deeplift,ica_n_components_3,ica,1000,65.65,11.341345869257587,0.18454200223996453,0.019647403518629883,0.5332861942514605,0.07665073799568084,0.735124503092548,0.03755326760498812,27.309,5.87639779550798,0.41701728792870457,0.05860534616229821
deeplift,deeplift,ica_n_components_5,ica,1000,65.65,11.341345869257587,0.11834297338626698,0.011540373597462579,0.35337007663597264,0.03594290531288466,0.780026587757943,0.03807734637635249,24.802,4.883917346623369,0.37922808043964223,0.04632412675923497
deeplift,deeplift,kernel_pca_n_components_1,kernel_pca,1000,65.65,11.341345869257587,0.4321305696802617,0.08105079263911819,0.5244051887251322,0.05867952562258031,0.686912728296284,0.05397606896841256,33.075,9.627671944300298,0.5043086794352152,0.11683408077532577
deeplift,deeplift,kernel_pca_n_components_3,kernel_pca,1000,65.65,11.341345869257587,0.29149529152964687,0.0644366259035257,0.5467760099305926,0.05483712677622259,0.7219878087162388,0.0318697535288767,30.615,6.404669764694726,0.46710744603894233,0.05937919179209783
deeplift,deeplift,kernel_pca_n_components_5,kernel_pca,1000,65.65,11.341345869257587,0.26572152021438106,0.06568937259087095,0.5003637702399276,0.05733705018315054,0.7403501487202706,0.03171396737727616,29.553,5.944116715166646,0.45131714869159567,0.054452439250307655
deeplift,deeplift,nmf_n_components_1,nmf,1000,65.65,11.341345869257587,0.38429446873493717,0.14724347241717434,0.601690041789715,0.14274146644345195,0.6110758709397228,0.12460950066456435,11.674,6.514765242598245,0.17998914832950896,0.09753446858334786
deeplift,deeplift,nmf_n_components_3,nmf,1000,65.65,11.341345869257587,0.24982909230709618,0.061974398177049396,0.5860579864996678,0.1306612956606662,0.6475600154884577,0.09563946380258656,11.429,5.925037136176031,0.17646810809887095,0.08847167770444993
deeplift,deeplift,nmf_n_components_5,nmf,1000,65.65,11.341345869257587,0.19330913363384855,0.04667722202482965,0.46769962843653273,0.08495687588887883,0.6938398504154505,0.07659024275622739,12.59,5.418049026656667,0.19497743377932836,0.08175320268473625
deeplift,deeplift,pca_n_components_1,pca,1000,65.65,11.341345869257587,0.43213055719962223,0.08105079470624431,0.5244051752977209,0.05867952381503688,0.6869127423203352,0.0539760674198368,33.075,9.627671944300298,0.5043086794352152,0.11683408077532577
deeplift,deeplift,pca_n_components_3,pca,1000,65.65,11.341345869257587,0.29149528522080287,0.06443662104294226,0.5467760060174635,0.05483712677513605,0.7219878125584454,0.031869750749707035,30.615,6.404669764694726,0.46710744603894233,0.05937919179209783
deeplift,deeplift,pca_n_components_5,pca,1000,65.65,11.341345869257587,0.26572151447076714,0.06568937169061555,0.5003637699184609,0.05733705134176413,0.7403501500562479,0.031713969604049784,29.553,5.944116715166646,0.45131714869159567,0.054452439250307655
gradient_shap,gradient_shap,baseline,baseline,1000,65.65,11.341345869257587,0.24990748364111204,0.09820425244465779,0.47342719105010755,0.13041844780208495,0.7318578858029824,0.09638694779098285,18.961,7.384037039655409,0.29151208843358595,0.10721173685282423
gradient_shap,gradient_shap,factor_analysis_n_components_1,factor_analysis,999,65.63563563563564,11.337921692620185,0.48313504502509563,0.04157770084356358,0.5238066628629375,0.02449860424785952,0.6700596037069371,0.023889588694219956,35.792792792792795,7.312527211336802,0.5453461514020179,0.06027421378552011
gradient_shap,gradient_shap,factor_analysis_n_components_3,factor_analysis,999,65.63563563563564,11.337921692620185,0.19948967419017724,0.020441397836420582,0.5871803663519266,0.06178321013345096,0.7113004459044466,0.032572932600920756,28.6976976976977,5.375546269925032,0.43796194282344103,0.04055193648863367
gradient_shap,gradient_shap,factor_analysis_n_components_5,factor_analysis,999,65.63563563563564,11.337921692620185,0.12843584234073224,0.02061950327252938,0.3813886068149773,0.03540118853678337,0.7546593343287451,0.03521450271202002,24.932932932932932,4.593332549939659,0.38097204729941353,0.03650530689854072
gradient_shap,gradient_shap,ica_n_components_1,ica,1000,65.65,11.341345869257587,0.43151401883282453,0.08357350854479725,0.5313237248137862,0.06190823141604727,0.6823919713118497,0.054314686981437,31.712,9.653716913720345,0.4823394259283831,0.11779637170842382
gradient_shap,gradient_shap,ica_n_components_3,ica,1000,65.65,11.341345869257587,0.18310076371285816,0.02142663470308813,0.5291589812413825,0.08174561302118684,0.7373153866339749,0.041726266049731696,26.819,5.893128877597024,0.40926254284908226,0.059619983379642055
gradient_shap,gradient_shap,ica_n_components_5,ica,1000,65.65,11.341345869257587,0.11595932746132205,0.012055590762574299,0.3456776054577421,0.038214484321654134,0.7877252905020404,0.040104820870176645,25.131,5.020661913139147,0.38442939982764024,0.050408926337577716
gradient_shap,gradient_shap,kernel_pca_n_components_1,kernel_pca,1000,65.65,11.341345869257587,0.43151401403162104,0.08357351327390199,0.5313237159766736,0.06190823664412121,0.6823919781882773,0.05431467733859952,31.712,9.653716913720345,0.4823394259283831,0.11779637170842382
gradient_shap,gradient_shap,kernel_pca_n_components_3,kernel_pca,1000,65.65,11.341345869257587,0.28599113389330205,0.0659133600398725,0.5459318479464234,0.06266141659037809,0.7218171971768319,0.03597181124812007,29.675,6.458722016783978,0.452381119132693,0.062220570340714036
gradient_shap,gradient_shap,kernel_pca_n_components_5,kernel_pca,1000,65.65,11.341345869257587,0.257521140997145,0.06711506126747191,0.4931979533661383,0.06443319361216238,0.7436184127149669,0.036157124054400226,28.8,5.928165242563937,0.4396030378825792,0.055685484240190604
gradient_shap,gradient_shap,nmf_n_components_1,nmf,1000,65.65,11.341345869257587,0.3496908972935447,0.14242051163765193,0.5583793232045933,0.1433042327174268,0.6551524110706638,0.12212409332380407,14.977,7.507918475838682,0.2304511833465769,0.11179429245089606
gradient_shap,gradient_shap,nmf_n_components_3,nmf,1000,65.65,11.341345869257587,0.2326644974952961,0.05958240478850143,0.5508562806543434,0.1299147928017416,0.6829760839604904,0.09540420203360835,14.396,6.978960516430071,0.22214219328798362,0.10449636122544789
gradient_shap,gradient_shap,nmf_n_components_5,nmf,1000,65.65,11.341345869257587,0.1783553057277447,0.043376445089710225,0.4357998280104707,0.0825492969157005,0.7286343305685259,0.07389365314305947,15.629,6.488872356924928,0.24132477117867643,0.09600836168827029
gradient_shap,gradient_shap,pca_n_components_1,pca,1000,65.65,11.341345869257587,0.4315140194634538,0.0835735089437187,0.5313237277722072,0.06190824836633696,0.682391969754113,0.054314682889684204,31.712,9.653716913720345,0.4823394259283831,0.11779637170842382
gradient_shap,gradient_shap,pca_n_components_3,pca,1000,65.65,11.341345869257587,0.285991130869069,0.06591335918045028,0.5459318499313182,0.0626614197628823,0.7218171970778023,0.03597181423652703,29.675,6.458722016783978,0.452381119132693,0.062220570340714036
