target_pos,target_token_id,soft_ns,soft_nc,dP0,dPR,dPnotR
4,407,0.5880892661054993,0.9203364138427669,0.831843912601471,0.34264543652534485,0.7655762434005737
5,3142,0.19766126024134797,0.6573882748354224,0.8611344695091248,0.6909215450286865,0.5660997033119202
6,284,0.13889561219164862,0.8077028847273195,0.918552041053772,0.79096919298172,0.7419171333312988
7,779,0.06584674800145154,0.34454386292864797,0.9065069556236267,0.8468164205551147,0.3123314082622528
8,428,0.0,1.0067487718955679,0.7961008548736572,0.9234005808830261,0.8014735579490662
9,2524,0.3297768572746013,0.9151785133124516,0.8928326964378357,0.5983971357345581,0.8171012997627258
10,329,0.04329027031624734,0.3729759511337409,0.8717410564422607,0.8340031504631042,0.3251384496688843
11,597,0.04221953410458438,0.44737121036388705,0.9188647270202637,0.880070686340332,0.41107362508773804
12,4007,0.09427787879184106,0.748214784658935,0.9390522241592407,0.8505203723907471,0.7026127576828003
13,584,0.14660218313083884,0.6563527761257699,0.9227491021156311,0.7874720692634583,0.605648934841156
14,621,0.012992620011720574,0.049186271939580355,0.9901413321495056,0.9772768020629883,0.04870136082172394
15,284,0.17120207759838219,0.8257175849235245,0.9236546754837036,0.7655230760574341,0.7626779079437256
16,1281,0.06854414791397288,0.9745152547282095,0.9647254943847656,0.8985992074012756,0.9401397109031677
17,994,0.16613397248475054,0.4112495502544183,0.9252229332923889,0.771511971950531,0.3804975152015686
18,13,0.08045351618656796,0.15246318283176413,0.9188960194587708,0.8449676036834717,0.14009781181812286
19,198,0.0,0.743007219155543,0.8280152678489685,0.896152913570404,0.6152213215827942
